control_number,donated,amount_donated,months_since_origin,donor_age,in_house,urbanicity,ses,cluster_code,home_owner,donor_gender,income_group,published_phone,overlay_source,mor_hit_rate,wealth_rating,median_home_value,median_household_income,pct_owner_occupied,per_capita_income,pct_attribute1,pct_attribute2,pct_attribute3,pct_attribute4,pep_star,recent_star_status,recency_status_96nk,frequency_status_97nk,recent_response_prop,recent_avg_gift_amt,recent_card_response_prop,recent_avg_card_gift_amt,recent_response_count,recent_card_response_count,months_since_last_prom_resp,lifetime_card_prom,lifetime_prom,lifetime_gift_amount,lifetime_gift_count,lifetime_avg_gift_amt,lifetime_gift_range,lifetime_max_gift_amt,lifetime_min_gift_amt,last_gift_amt,card_prom_12,number_prom_12,months_since_last_gift,months_since_first_gift,file_avg_gift,file_card_gift
77,0,0.0,113,59,1,1,2,43,1,0,2,0,1,0,2,119,179,41,6519,0,43,0,70,1,1,5,4,0.409,8.67,0.364,8.0,9,4,15,45,123,273.0,37,7.38,7.0,10.0,3.0,10.0,11,35,4,110,7.38,14
113,0,0.0,113,59,0,1,3,53,1,0,2,1,1,0,2,168,163,79,9042,0,33,22,43,0,0,0,1,0.095,80.0,0.182,80.0,2,2,20,39,94,516.0,14,36.86,80.0,85.0,5.0,85.0,9,21,20,105,36.86,6
122,0,0.0,89,59,0,1,1,42,1,0,2,0,1,0,2,770,256,80,13841,0,32,19,39,1,1,5,4,0.524,3.5,0.7,4.5,11,7,15,36,98,100.5,33,3.05,14.0,15.0,1.0,2.0,11,27,15,91,3.05,16
139,0,0.0,101,59,0,1,2,46,1,0,2,0,1,0,2,655,219,77,12671,0,46,24,53,0,0,0,1,0.071,21.0,0.0,0.0,1,0,26,11,25,103.0,7,14.71,16.0,21.0,5.0,21.0,4,10,26,90,14.71,2
142,1,3.0,137,59,0,1,2,43,1,0,2,1,1,0,1,475,227,70,10221,0,30,33,29,1,1,5,2,0.35,10.0,0.5,10.0,7,5,22,44,110,186.0,31,6.0,9.0,11.0,2.0,10.0,9,22,22,129,6.0,14
156,0,0.0,125,73,0,5,5,28,1,0,5,0,0,17,9,706,299,76,12426,0,0,0,0,1,1,5,2,0.15,8.33,0.111,10.0,3,1,18,38,98,201.0,33,6.09,8.0,10.0,2.0,10.0,6,15,18,124,6.09,10
159,1,12.0,77,81,0,1,2,45,1,1,4,1,0,24,3,530,236,81,12208,1,34,19,46,1,0,0,4,0.5,9.64,0.455,9.8,11,5,11,33,90,270.0,29,9.31,10.0,15.0,5.0,15.0,11,29,6,89,9.31,7
162,0,0.0,65,76,0,2,2,20,1,0,2,1,0,7,7,813,255,48,13079,0,47,24,23,1,0,0,1,0.19,16.25,0.182,17.5,4,2,20,37,99,277.0,24,11.54,20.0,25.0,5.0,15.0,11,27,20,89,11.54,4
186,0,0.0,125,63,0,5,5,28,1,0,5,0,1,0,3,910,240,53,19388,0,0,0,0,1,1,5,4,0.545,10.83,0.364,11.0,12,4,15,46,131,670.0,76,8.82,17.0,20.0,3.0,11.0,10,28,15,125,8.82,23
210,0,0.0,101,69,0,2,2,16,0,0,3,1,0,32,6,663,340,68,13347,1,25,37,33,1,1,5,2,0.389,11.57,0.33299999999999996,10.67,7,3,12,33,96,255.0,26,9.81,15.0,20.0,5.0,10.0,8,21,12,92,9.81,10
220,1,8.0,77,45,0,0,3,30,0,1,2,0,0,4,2,550,387,83,20210,0,49,43,37,1,1,5,4,0.43799999999999994,6.14,0.5710000000000001,6.0,7,4,13,29,79,122.0,22,5.55,5.0,8.0,3.0,7.0,9,25,5,87,5.55,11
230,0,0.0,65,71,0,3,2,40,0,1,3,0,0,0,7,2222,450,86,29771,2,34,26,43,0,0,0,1,0.1,17.5,0.0,0.0,2,0,26,16,44,90.0,7,12.86,15.0,20.0,5.0,20.0,5,12,26,88,12.86,1
236,0,0.0,89,43,0,4,2,7,0,1,4,1,2,0,4,1296,358,52,13619,3,30,53,10,1,0,0,1,0.43799999999999994,12.86,0.5,12.25,7,4,11,24,68,200.0,21,9.52,10.0,15.0,5.0,10.0,9,26,5,87,9.52,6
250,1,15.0,89,87,0,2,2,20,1,0,1,0,0,6,4,469,222,42,10469,0,46,17,39,1,0,0,2,0.35,12.86,0.364,12.5,7,4,17,39,94,261.0,24,10.88,12.0,15.0,3.0,12.0,11,23,17,87,10.88,10
257,0,0.0,89,55,0,5,5,28,0,0,4,0,2,0,9,490,152,63,9807,0,0,0,0,0,0,0,1,0.071,19.0,0.0,0.0,1,0,25,19,49,164.0,14,11.71,17.0,20.0,3.0,19.0,5,12,25,87,11.71,3
263,1,10.0,77,77,0,3,1,34,1,2,5,0,1,0,6,2156,331,41,24742,0,42,0,60,1,0,0,2,0.23800000000000002,14.0,0.5,14.0,5,5,21,33,91,186.0,16,11.63,12.0,17.0,5.0,14.0,11,29,5,87,11.63,11
268,1,33.0,89,37,0,0,1,23,1,0,5,1,0,7,9,1765,327,72,27674,0,50,14,71,0,0,0,4,0.364,25.88,0.455,27.0,8,5,15,40,107,470.0,21,22.38,25.0,35.0,10.0,35.0,11,27,8,87,22.38,7
276,0,0.0,89,52,0,2,2,16,0,1,5,1,0,10,4,610,297,90,13018,0,33,20,37,0,0,0,3,0.14300000000000002,11.33,0.2,10.5,3,2,20,33,88,134.0,14,9.57,8.0,13.0,5.0,10.0,8,20,20,87,9.57,4
282,1,20.0,17,30,0,3,1,35,0,1,6,1,0,11,8,1117,544,87,18212,1,27,70,21,0,0,2,1,0.077,20.0,0.2,20.0,1,1,20,13,39,76.0,9,8.44,15.0,20.0,5.0,20.0,5,14,20,87,8.44,1
286,0,0.0,89,43,0,1,2,49,0,1,3,1,0,1,2,542,301,65,9742,0,24,62,26,0,0,0,1,0.063,25.0,0.0,0.0,1,0,26,18,45,109.0,7,15.57,15.0,25.0,10.0,25.0,5,12,26,87,15.57,2
316,0,0.0,89,77,0,3,3,41,0,1,1,0,0,0,0,312,117,65,5016,0,23,7,64,1,0,0,1,0.5,20.0,0.545,20.0,10,6,12,32,82,380.0,23,16.52,15.0,20.0,5.0,20.0,11,30,4,87,16.52,9
317,0,0.0,89,64,0,0,2,25,1,1,4,0,1,0,9,1125,255,0,16041,0,14,39,13,0,0,0,1,0.077,23.0,0.0,0.0,1,0,19,12,35,87.0,5,17.4,8.0,23.0,15.0,23.0,4,14,19,87,17.4,2
325,0,0.0,89,37,0,4,4,10,0,0,6,0,0,0,9,5435,1375,97,42851,0,29,30,33,1,1,5,2,0.11800000000000001,32.5,0.222,32.5,2,2,15,26,58,209.0,10,20.9,25.0,35.0,10.0,35.0,10,24,15,87,20.9,6
341,1,25.0,89,67,0,1,2,49,1,0,2,0,1,0,4,517,327,83,12605,0,27,32,25,1,19,0,1,0.2,14.0,0.111,11.0,4,1,15,37,106,297.0,27,11.0,20.0,25.0,5.0,15.0,9,26,7,86,11.0,5
349,0,0.0,89,65,0,4,1,1,0,0,6,1,0,2,6,1489,402,26,22959,0,38,55,25,0,0,1,1,0.14300000000000002,15.0,0.0,0.0,1,0,15,9,29,59.0,5,11.8,5.0,15.0,10.0,15.0,2,12,15,86,11.8,2
363,0,0.0,89,77,0,4,3,9,0,0,5,1,0,7,6,4872,221,10,14394,1,12,11,17,0,0,0,1,0.067,17.0,0.0,0.0,1,0,25,14,39,101.0,7,14.43,5.0,17.0,12.0,17.0,5,13,25,85,14.43,1
364,1,10.0,53,59,0,4,1,1,0,0,5,0,2,0,7,3100,133,28,18262,0,20,18,0,1,1,5,2,0.28600000000000003,13.0,0.2,13.0,6,2,20,26,70,284.0,21,13.52,20.0,25.0,5.0,10.0,9,21,18,85,13.52,4
368,1,10.0,137,75,0,4,1,2,0,1,6,1,0,1,7,2257,485,84,17885,0,43,28,41,1,10,0,1,0.33299999999999996,8.83,0.444,8.75,6,4,19,42,114,247.0,38,6.5,5.0,10.0,5.0,10.0,10,24,19,129,6.5,22
372,0,0.0,101,42,0,2,1,12,0,1,6,1,0,2,9,787,375,94,14366,0,24,36,0,0,0,0,1,0.11800000000000001,18.0,0.0,0.0,2,0,17,21,59,89.0,7,12.71,14.0,19.0,5.0,19.0,4,13,17,91,12.71,3
379,0,0.0,89,63,0,5,5,28,1,0,5,0,1,0,2,343,162,77,8371,0,0,0,0,1,0,0,1,0.125,12.5,0.0,0.0,2,0,18,22,51,85.0,10,8.5,10.0,15.0,5.0,15.0,6,17,18,85,8.5,4
383,0,0.0,41,57,0,2,1,14,1,1,5,1,1,0,6,2439,521,47,21808,0,34,27,29,0,0,0,1,0.1,19.0,0.0,0.0,2,0,15,28,68,163.0,9,18.11,28.0,33.0,5.0,20.0,9,22,15,85,18.11,2
387,1,5.0,5,59,0,3,2,40,1,0,2,0,0,0,8,789,413,97,14123,0,31,16,7,0,0,0,3,0.278,5.4,0.222,6.0,5,2,20,15,43,70.0,12,5.83,7.0,10.0,3.0,5.0,5,12,18,85,5.83,2
397,1,16.0,89,79,0,4,1,2,0,0,7,1,2,0,9,1857,594,93,27547,0,25,9,65,0,0,0,1,0.067,16.0,0.0,0.0,1,0,20,18,60,111.0,7,15.86,10.0,20.0,10.0,16.0,4,15,20,84,15.86,2
403,1,35.0,89,58,0,5,5,28,1,2,2,0,2,0,9,765,408,89,15150,0,0,0,0,0,0,0,1,0.063,20.0,0.125,20.0,1,1,18,21,52,335.0,10,33.5,30.0,50.0,20.0,35.0,8,21,7,83,33.5,4
412,0,0.0,77,59,0,3,3,41,1,0,1,0,1,0,2,453,199,79,9591,0,21,40,40,1,10,0,1,0.444,11.25,0.556,11.0,8,5,16,24,68,356.0,32,11.13,10.0,15.0,5.0,15.0,6,17,4,81,11.13,10
427,1,10.0,29,64,0,0,2,28,1,1,2,0,1,0,9,709,256,75,13576,0,39,9,57,0,0,0,3,0.15,10.0,0.273,10.0,3,3,22,25,59,105.0,11,9.55,10.0,15.0,5.0,10.0,6,15,18,80,9.55,5
438,0,0.0,89,45,0,3,2,40,0,0,6,1,0,12,8,1400,318,77,14928,0,25,30,29,0,0,0,1,0.1,25.0,0.111,25.0,2,1,18,30,72,159.0,12,13.25,20.0,25.0,5.0,25.0,11,27,6,81,13.25,5
441,1,10.0,77,56,0,4,4,10,1,0,1,0,0,2,6,550,91,10,10050,0,19,46,31,1,1,5,4,0.5,5.0,0.364,5.0,11,4,8,34,90,154.0,28,5.5,7.0,10.0,3.0,5.0,11,25,8,80,5.5,7
458,0,0.0,125,80,0,3,2,37,1,0,5,0,1,0,4,1688,325,70,16023,0,33,28,39,1,1,5,2,0.136,15.0,0.273,15.0,3,3,25,25,60,145.0,15,9.67,10.0,15.0,5.0,15.0,7,14,25,124,9.67,8
478,0,0.0,137,82,0,3,2,36,0,0,5,0,2,0,3,550,218,80,10815,0,40,26,42,1,3,0,1,0.3,10.0,0.556,10.4,6,5,19,45,120,321.0,42,7.64,11.0,13.0,2.0,10.0,9,22,6,130,7.64,23
511,1,12.0,89,82,0,2,1,15,1,0,4,1,1,2,4,1024,225,8,16782,1,22,33,23,0,0,0,1,0.188,13.33,0.125,10.0,3,1,17,22,58,100.0,10,10.0,10.0,15.0,5.0,10.0,9,22,6,78,10.0,2
527,0,0.0,89,64,0,3,2,39,0,0,2,1,0,2,8,684,282,61,13025,0,32,26,17,1,0,0,3,0.364,7.88,0.455,7.4,8,5,13,32,76,133.0,23,5.78,13.0,16.0,3.0,5.0,10,24,13,78,5.78,12
532,0,0.0,29,59,0,1,1,42,1,2,2,0,1,0,2,1039,525,92,19249,3,36,50,33,0,0,4,1,0.059000000000000004,20.0,0.125,20.0,1,1,24,16,36,110.0,7,15.71,10.0,20.0,10.0,20.0,5,11,24,78,15.71,1
539,0,0.0,89,75,0,2,1,14,0,1,5,1,0,15,9,2003,909,98,32344,0,27,33,19,0,0,0,1,0.063,33.0,0.0,0.0,1,0,26,23,54,173.0,6,28.83,8.0,33.0,25.0,33.0,8,19,26,78,28.83,2
542,1,10.0,89,59,0,3,2,38,1,1,5,0,1,0,8,535,192,38,11878,0,21,19,22,0,0,0,1,0.059000000000000004,15.0,0.0,0.0,1,0,24,16,38,44.0,7,6.29,12.0,15.0,3.0,15.0,4,10,24,77,6.29,4
544,0,0.0,89,58,0,5,5,28,1,0,2,0,2,0,1,266,222,80,9958,0,0,0,0,1,11,0,1,0.15,11.67,0.111,10.0,3,1,18,38,97,142.0,16,8.88,10.0,15.0,5.0,15.0,11,26,18,78,8.88,7
545,0,0.0,137,48,0,2,2,18,0,0,2,0,0,0,8,1221,436,75,20091,0,31,29,26,0,0,0,2,0.21100000000000002,13.0,0.111,16.0,4,1,17,39,90,152.0,14,10.86,11.0,16.0,5.0,10.0,8,22,17,111,10.86,4
551,1,20.0,125,85,0,3,2,36,0,0,2,1,2,0,2,340,180,67,9343,0,29,27,46,1,0,0,1,0.063,16.0,0.1,16.0,1,1,24,39,89,368.0,24,15.33,20.0,25.0,5.0,21.0,7,15,9,119,15.33,10
557,1,15.0,77,59,0,1,2,48,0,0,2,0,2,0,2,789,200,81,9717,0,47,19,55,0,0,0,1,0.579,11.27,0.7,10.57,11,7,11,25,78,328.0,37,8.86,12.0,15.0,3.0,11.0,8,27,4,77,8.86,16
564,0,0.0,89,59,0,0,1,24,0,0,7,1,0,18,9,2573,582,82,19730,0,30,54,8,1,0,0,1,0.25,30.0,0.444,30.0,4,4,16,25,56,210.0,10,21.0,45.0,50.0,5.0,18.0,11,24,16,79,21.0,7
576,0,0.0,77,47,0,3,1,35,0,0,7,1,0,2,8,3770,564,83,30842,0,48,32,49,0,0,0,1,0.059000000000000004,25.0,0.0,0.0,1,0,25,21,48,141.0,7,20.14,12.0,25.0,13.0,25.0,7,15,25,76,20.14,2
578,1,10.0,89,57,0,2,2,18,1,0,5,0,1,0,9,1821,454,79,17008,0,24,36,54,1,0,0,2,0.267,12.5,0.14300000000000002,10.0,4,1,17,23,58,96.0,13,7.38,12.0,15.0,3.0,10.0,11,27,4,78,7.38,4
583,0,0.0,137,76,0,5,5,28,1,1,5,0,1,0,2,303,161,74,8520,0,0,0,0,1,1,5,2,0.182,8.5,0.091,10.0,4,1,21,37,95,144.0,33,4.36,8.0,10.0,2.0,10.0,7,19,21,129,4.36,8
591,1,25.0,113,80,0,3,2,37,0,1,5,1,0,2,3,711,223,97,14751,0,58,5,86,1,0,0,1,0.25,29.0,0.364,28.25,5,4,16,43,108,315.0,12,26.25,20.0,35.0,15.0,20.0,11,28,16,109,26.25,6
598,0,0.0,77,42,0,4,3,8,0,1,5,1,0,3,7,480,343,82,17493,0,32,19,57,0,0,0,1,0.059000000000000004,25.0,0.111,25.0,1,1,24,23,51,165.0,7,23.57,5.0,25.0,20.0,25.0,8,16,24,76,23.57,4
603,0,0.0,89,70,0,0,1,23,1,0,2,0,1,0,8,1459,377,66,19935,0,39,14,42,1,0,0,2,0.25,15.4,0.182,11.5,5,2,13,31,79,224.0,16,14.0,20.0,25.0,5.0,25.0,9,24,6,78,14.0,7
616,0,0.0,53,60,0,4,2,7,0,0,4,0,0,10,3,2475,281,22,14765,0,7,17,29,0,0,0,1,0.11800000000000001,15.0,0.0,0.0,2,0,19,23,71,107.0,9,11.89,15.0,20.0,5.0,15.0,8,26,8,76,11.89,3
621,0,0.0,77,60,0,4,1,3,1,2,5,0,1,0,6,2440,362,36,17769,0,19,34,29,0,0,0,1,0.125,37.5,0.25,37.5,2,2,20,16,38,210.0,7,30.0,15.0,40.0,25.0,25.0,7,16,4,76,30.0,3
626,0,0.0,29,56,0,3,2,36,0,1,4,1,0,1,8,689,296,70,11819,0,45,35,37,1,1,5,4,0.316,8.0,0.5,7.6,6,5,18,17,45,60.0,8,7.5,5.0,10.0,5.0,10.0,6,16,18,75,7.5,5
634,0,0.0,137,60,0,4,3,8,1,0,1,0,2,0,1,1608,337,88,10580,0,19,71,10,1,1,5,4,0.35,5.0,0.364,5.0,7,4,18,41,104,235.0,47,5.0,0.0,5.0,5.0,5.0,6,15,18,130,5.0,20
637,1,25.0,77,81,1,2,1,13,0,0,4,0,2,0,8,2865,534,92,24571,0,33,14,52,1,0,0,2,0.35,19.57,0.364,21.0,7,4,11,34,93,419.0,27,15.52,25.0,30.0,5.0,20.0,9,25,6,80,15.52,11
640,0,0.0,137,70,0,0,3,31,1,0,2,0,1,0,0,1781,105,11,5381,0,10,0,45,1,8,0,1,0.1,8.0,0.111,5.0,2,1,26,41,96,180.0,48,3.75,10.0,11.0,1.0,11.0,4,10,26,123,3.75,24
646,0,0.0,137,63,0,3,1,35,0,1,5,1,1,6,9,1361,665,98,21294,0,22,39,22,1,13,0,1,0.3,9.83,0.222,9.0,6,2,13,42,116,237.0,30,7.9,6.0,11.0,5.0,9.0,9,26,7,122,7.9,16
653,0,0.0,77,40,0,2,1,14,0,0,7,0,2,0,8,914,507,92,16840,2,47,65,18,1,0,0,1,0.1,27.5,0.111,40.0,2,1,19,34,92,239.0,13,18.38,35.0,40.0,5.0,40.0,9,23,19,76,18.38,6
661,1,20.0,65,32,0,4,2,5,0,1,6,1,0,4,7,1801,495,79,18663,0,37,26,31,1,0,0,1,0.33299999999999996,20.14,0.6,20.0,7,6,16,32,90,331.0,17,19.47,10.0,25.0,15.0,25.0,11,26,10,73,19.47,12
665,0,0.0,41,53,0,3,2,40,0,0,3,1,0,4,5,742,369,89,13642,1,35,32,11,0,0,0,2,0.14300000000000002,18.33,0.0,0.0,3,0,16,29,75,164.0,12,13.67,10.0,20.0,10.0,15.0,11,27,16,73,13.67,1
672,0,0.0,89,64,0,0,2,27,1,0,2,1,2,0,3,1720,299,53,14082,7,39,54,28,0,0,0,1,0.105,15.5,0.1,16.0,2,1,26,28,70,148.0,12,12.33,11.0,16.0,5.0,15.0,5,14,26,80,12.33,4
675,1,15.0,113,82,0,3,1,34,0,0,5,1,0,2,7,1714,342,77,18534,0,29,43,57,1,1,5,2,0.1,13.5,0.111,15.0,2,1,21,32,87,205.08,23,8.92,14.92,15.0,0.08,15.0,7,17,21,100,8.92,13
683,1,5.0,137,79,0,2,1,14,1,0,5,0,1,0,9,2257,695,93,26427,2,33,34,14,1,2,4,3,0.526,5.1,0.7,5.29,10,7,20,51,131,247.0,52,4.75,7.0,10.0,3.0,5.0,11,26,20,118,4.75,26
687,0,0.0,65,73,0,2,1,12,0,1,7,1,0,2,9,1407,578,82,21162,0,29,36,25,1,0,0,4,0.579,6.18,0.7,5.57,11,7,17,30,76,104.0,18,5.78,6.0,8.0,2.0,8.0,10,22,17,68,5.78,8
689,0,0.0,65,45,0,1,3,50,0,0,7,0,2,0,2,317,182,78,7839,0,23,21,37,1,4,0,1,0.47600000000000003,5.1,0.6,4.33,10,6,12,35,101,197.0,47,4.19,8.0,10.0,2.0,10.0,8,27,5,69,4.19,17
696,0,0.0,137,86,0,5,5,28,1,0,5,1,1,0,5,793,344,62,13429,0,0,0,0,1,1,5,3,0.632,7.67,0.9,7.56,12,9,12,47,129,323.0,50,6.46,7.0,10.0,3.0,7.0,10,30,5,129,6.46,25
701,0,0.0,137,59,0,1,2,45,1,0,2,0,1,0,4,407,214,74,10149,0,30,35,28,1,1,5,2,0.3,30.0,0.364,26.25,6,4,16,46,124,645.0,27,23.89,40.0,50.0,10.0,50.0,10,27,6,121,23.89,14
702,0,0.0,101,75,0,3,1,35,0,0,7,1,0,6,9,1125,550,90,28012,0,40,18,63,1,0,0,2,0.28600000000000003,9.83,0.3,10.0,6,3,13,38,103,175.0,22,7.95,7.0,11.0,4.0,10.0,10,26,13,92,7.95,7
706,0,0.0,77,54,0,3,2,36,0,0,5,1,0,13,8,508,269,70,15080,0,37,30,35,0,0,0,1,0.067,15.0,0.0,0.0,1,0,24,17,46,97.0,11,8.82,10.0,15.0,5.0,15.0,5,15,24,68,8.82,3
714,0,0.0,77,33,0,2,2,19,0,0,6,1,2,0,7,2051,417,67,13430,1,18,43,25,1,1,5,4,0.364,26.38,0.545,27.5,8,6,21,39,106,453.0,30,15.1,35.0,40.0,5.0,38.0,11,25,21,76,15.1,14
718,1,35.0,101,75,0,0,2,27,0,0,3,0,0,3,2,1215,296,49,12319,1,33,46,26,0,0,0,1,0.15,40.67,0.091,36.0,3,1,18,31,86,361.0,16,22.56,40.0,50.0,10.0,36.0,9,22,18,105,22.56,4
727,1,2.0,65,73,0,1,3,51,0,0,3,1,0,1,2,240,232,77,10744,0,27,23,31,1,0,0,4,0.47600000000000003,2.8,0.8,2.75,10,8,12,28,64,52.0,23,2.26,4.0,5.0,1.0,2.0,10,18,7,69,2.26,13
740,0,0.0,113,59,0,1,1,42,1,2,2,0,1,0,0,1212,298,74,15314,0,38,31,44,1,7,0,1,0.2,11.5,0.2,8.0,4,2,16,32,80,105.0,16,6.56,17.0,20.0,3.0,15.0,10,23,4,105,6.56,8
743,0,0.0,113,60,0,1,2,46,0,1,5,1,1,15,9,768,304,70,12793,0,28,48,8,1,0,0,2,0.524,10.45,0.4,11.25,11,4,15,39,107,360.0,37,9.73,10.0,15.0,5.0,10.0,11,27,11,113,9.73,10
751,1,11.0,125,67,0,4,1,2,1,0,5,0,1,0,8,2250,539,80,18081,0,36,34,25,1,3,0,1,0.182,10.25,0.273,10.33,4,3,23,45,107,192.0,25,7.68,9.0,12.0,3.0,10.0,8,22,23,122,7.68,16
775,0,0.0,65,67,0,2,1,15,0,0,5,0,0,1,8,844,352,78,18534,0,43,9,59,1,0,0,4,0.368,13.0,0.222,14.0,7,2,13,29,80,163.0,15,10.87,13.0,18.0,5.0,15.0,11,29,11,67,10.87,8
785,1,18.0,77,52,0,0,1,22,1,1,2,1,2,0,2,613,146,2,13209,0,12,18,15,0,0,0,1,0.063,15.0,0.0,0.0,1,0,19,19,49,105.0,6,17.5,15.0,25.0,10.0,20.0,7,19,5,66,17.5,3
788,0,0.0,65,49,0,3,2,40,0,0,6,1,0,14,8,864,404,86,13208,0,30,36,45,0,0,0,1,0.063,40.0,0.125,40.0,1,1,21,20,51,140.0,5,28.0,15.0,40.0,25.0,40.0,7,18,21,64,28.0,3
790,1,15.0,77,71,0,1,2,46,1,1,5,0,2,0,4,580,286,78,12400,0,29,34,29,1,0,0,1,0.053,15.0,0.0,0.0,1,0,18,24,67,92.0,11,8.36,12.0,15.0,3.0,15.0,5,16,18,68,8.36,4
793,1,15.0,125,87,0,2,2,17,0,0,5,1,0,23,5,1568,328,28,17761,0,26,38,24,1,0,1,1,0.222,14.0,0.125,12.0,4,1,15,37,103,214.0,21,10.19,18.0,20.0,2.0,16.0,4,16,15,123,10.19,7
804,0,0.0,137,7,0,2,1,11,0,0,5,1,0,8,9,1227,471,60,17179,20,36,57,18,1,0,0,3,0.19,6.0,0.2,7.0,4,2,21,38,93,114.0,25,4.56,4.0,7.0,3.0,7.0,6,13,21,124,4.56,8
826,0,0.0,65,17,0,3,3,41,1,0,5,0,1,0,1,348,178,80,10244,2,45,36,33,1,0,0,1,0.5,13.11,0.889,12.88,9,8,12,22,72,220.0,19,11.58,11.0,16.0,5.0,16.0,7,21,4,65,11.58,11
836,0,0.0,65,86,0,2,1,13,0,1,6,1,0,10,9,1638,703,79,37099,2,60,35,63,0,0,0,1,0.111,29.0,0.0,0.0,2,0,26,18,45,148.0,6,24.67,16.0,31.0,15.0,31.0,3,7,26,64,24.67,1
867,0,0.0,77,52,0,0,2,26,0,1,5,1,0,2,4,923,253,14,20273,0,20,13,56,0,0,0,1,0.059000000000000004,18.0,0.0,0.0,1,0,17,23,63,93.0,7,13.29,8.0,18.0,10.0,18.0,5,14,17,77,13.29,2
894,1,40.0,65,57,0,0,2,27,0,1,5,1,0,12,7,860,392,89,13088,0,40,39,20,1,1,5,4,0.5,19.4,0.455,18.8,10,5,12,36,105,580.0,34,17.06,20.0,25.0,5.0,21.0,11,35,4,64,17.06,12
898,0,0.0,77,78,0,1,2,49,0,0,2,1,0,0,0,388,290,86,12373,0,29,34,28,1,1,5,2,0.19,9.75,0.2,10.0,4,2,19,28,76,122.0,18,6.78,8.0,11.0,3.0,10.0,6,15,19,67,6.78,6
903,0,0.0,41,64,0,0,2,25,1,0,1,0,0,4,9,528,196,42,9075,10,19,36,10,1,0,0,3,0.222,5.75,0.5,5.75,4,4,16,13,33,42.0,10,4.2,9.0,10.0,1.0,5.0,6,14,16,64,4.2,4
905,0,0.0,65,65,0,3,1,35,0,1,4,1,0,11,7,1629,483,87,15317,0,26,35,30,0,0,0,1,0.063,15.0,0.0,0.0,1,0,18,18,54,51.0,5,10.2,10.0,15.0,5.0,15.0,4,14,18,64,10.2,1
