,amount_donated,control_number,months_since_origin,donor_age,in_house,urbanicity,ses,cluster_code,home_owner,donor_gender,income_group,published_phone,overlay_source,mor_hit_rate,wealth_rating,median_home_value,median_household_income,pct_owner_occupied,per_capita_income,pct_attribute1,pct_attribute2,pct_attribute3,pct_attribute4,pep_star,recent_star_status,recency_status_96nk,frequency_status_97nk,recent_response_prop,recent_avg_gift_amt,recent_card_response_prop,recent_avg_card_gift_amt,recent_response_count,recent_card_response_count,months_since_last_prom_resp,lifetime_card_prom,lifetime_prom,lifetime_gift_amount,lifetime_gift_count,lifetime_avg_gift_amt,lifetime_gift_range,lifetime_max_gift_amt,lifetime_min_gift_amt,last_gift_amt,card_prom_12,number_prom_12,months_since_last_gift,months_since_first_gift,file_avg_gift,file_card_gift
15,0.0,156,125,73.0,0,X,5,54,U,F,5.0,0,B,17,9.0,706,299,76,12426,0,0,0,0,1,1,S,2,0.15,8.33,0.111,10.0,3,1,18.0,38,98,201.0,33,6.09,8.0,10.0,2.0,10.0,6,15,18,124,6.09,10
16,12.0,159,77,81.0,0,R,2,45,U,M,4.0,1,B,24,3.0,530,236,81,12208,1,34,19,46,1,0,A,4,0.5,9.64,0.455,9.8,11,5,11.0,33,90,270.0,29,9.31,10.0,15.0,5.0,15.0,11,29,6,89,9.31,7
17,0.0,162,65,76.0,0,S,2,20,U,F,2.0,1,B,7,7.0,813,255,48,13079,0,47,24,23,1,0,A,1,0.19,16.25,0.182,17.5,4,2,20.0,37,99,277.0,24,11.54,20.0,25.0,5.0,15.0,11,27,20,89,11.54,4
18,0.0,186,125,60.0,0,X,5,54,U,F,5.0,0,M,0,3.0,910,240,53,19388,0,0,0,0,1,1,S,4,0.545,10.83,0.364,11.0,12,4,15.0,46,131,670.0,76,8.82,17.0,20.0,3.0,11.0,10,28,15,125,8.82,23
19,0.0,210,101,69.0,0,S,2,16,H,F,3.0,1,B,32,6.0,663,340,68,13347,1,25,37,33,1,1,S,2,0.389,11.57,0.33299999999999996,10.67,7,3,12.0,33,96,255.0,26,9.81,15.0,20.0,5.0,10.0,8,21,12,92,9.81,10
20,8.0,220,77,45.0,0,C,3,30,H,M,2.0,0,B,4,2.0,550,387,83,20210,0,49,43,37,1,1,S,4,0.43799999999999994,6.14,0.5710000000000001,6.0,7,4,13.0,29,79,122.0,22,5.55,5.0,8.0,3.0,7.0,9,25,5,87,5.55,11
21,0.0,230,65,71.0,0,T,2,40,H,M,3.0,0,B,0,7.0,2222,450,86,29771,2,34,26,43,0,0,A,1,0.1,17.5,0.0,0.0,2,0,26.0,16,44,90.0,7,12.86,15.0,20.0,5.0,20.0,5,12,26,88,12.86,1
22,0.0,236,89,43.0,0,U,2,07,H,M,4.0,1,P,0,4.0,1296,358,52,13619,3,30,53,10,1,0,A,1,0.43799999999999994,12.86,0.5,12.25,7,4,11.0,24,68,200.0,21,9.52,10.0,15.0,5.0,10.0,9,26,5,87,9.52,6
23,15.0,250,89,87.0,0,S,2,20,U,F,1.0,0,B,6,4.0,469,222,42,10469,0,46,17,39,1,0,A,2,0.35,12.86,0.364,12.5,7,4,17.0,39,94,261.0,24,10.88,12.0,15.0,3.0,12.0,11,23,17,87,10.88,10
24,0.0,257,89,55.0,0,X,5,54,H,F,4.0,0,P,0,5.0,490,152,63,9807,0,0,0,0,0,0,A,1,0.071,19.0,0.0,0.0,1,0,25.0,19,49,164.0,14,11.71,17.0,20.0,3.0,19.0,5,12,25,87,11.71,3
25,10.0,263,77,77.0,0,T,1,34,U,U,5.0,0,M,0,6.0,2156,331,41,24742,0,42,0,60,1,0,A,2,0.23800000000000002,14.0,0.5,14.0,5,5,21.0,33,91,186.0,16,11.63,12.0,17.0,5.0,14.0,11,29,5,87,11.63,11
26,33.0,268,89,37.0,0,C,1,23,U,F,5.0,1,B,7,9.0,1765,327,72,27674,0,50,14,71,0,0,A,4,0.364,25.88,0.455,27.0,8,5,15.0,40,107,470.0,21,22.38,25.0,35.0,10.0,35.0,11,27,8,87,22.38,7
27,0.0,276,89,52.0,0,S,2,16,H,M,5.0,1,B,10,4.0,610,297,90,13018,0,33,20,37,0,0,A,3,0.14300000000000002,11.33,0.2,10.5,3,2,20.0,33,88,134.0,14,9.57,8.0,13.0,5.0,10.0,8,20,20,87,9.57,4
28,20.0,282,17,30.0,0,T,1,35,H,M,6.0,1,B,11,5.0,1117,544,87,18212,1,27,70,21,0,0,F,1,0.077,20.0,0.2,20.0,1,1,20.0,13,39,76.0,9,8.44,15.0,20.0,5.0,20.0,5,14,20,87,8.44,1
29,0.0,286,89,43.0,0,R,2,49,H,M,3.0,1,B,1,5.0,542,301,65,9742,0,24,62,26,0,0,A,1,0.063,25.0,0.0,0.0,1,0,26.0,18,45,109.0,7,15.57,15.0,25.0,10.0,25.0,5,12,26,87,15.57,2
30,0.0,316,89,77.0,0,T,3,41,H,M,1.0,0,B,0,0.0,312,117,65,5016,0,23,7,64,1,0,A,1,0.5,20.0,0.545,20.0,10,6,12.0,32,82,380.0,23,16.52,15.0,20.0,5.0,20.0,11,30,4,87,16.52,9
31,0.0,317,89,60.0,0,C,2,25,U,M,4.0,0,M,0,5.0,1125,255,0,16041,0,14,39,13,0,0,A,1,0.077,23.0,0.0,0.0,1,0,19.0,12,35,87.0,5,17.4,8.0,23.0,15.0,23.0,4,14,19,87,17.4,2
32,0.0,325,89,37.0,0,U,4,10,H,F,6.0,0,B,0,9.0,5435,1375,97,42851,0,29,30,33,1,1,S,2,0.11800000000000001,32.5,0.222,32.5,2,2,15.0,26,58,209.0,10,20.9,25.0,35.0,10.0,35.0,10,24,15,87,20.9,6
33,25.0,341,89,67.0,0,R,2,49,U,F,5.0,0,M,0,4.0,517,327,83,12605,0,27,32,25,1,19,A,1,0.2,14.0,0.111,11.0,4,1,15.0,37,106,297.0,27,11.0,20.0,25.0,5.0,15.0,9,26,7,86,11.0,5
34,0.0,349,89,65.0,0,U,1,01,H,F,6.0,1,B,2,5.0,1489,402,26,22959,0,38,55,25,0,0,E,1,0.14300000000000002,15.0,0.0,0.0,1,0,15.0,9,29,59.0,5,11.8,5.0,15.0,10.0,15.0,2,12,15,86,11.8,2
35,0.0,363,89,77.0,0,U,3,09,H,F,5.0,1,B,7,5.0,4872,221,10,14394,1,12,11,17,0,0,A,1,0.067,17.0,0.0,0.0,1,0,25.0,14,39,101.0,7,14.43,5.0,17.0,12.0,17.0,5,13,25,85,14.43,1
36,10.0,364,53,59.0,0,U,1,01,H,F,5.0,0,P,0,7.0,3100,133,28,18262,0,20,18,0,1,1,S,2,0.28600000000000003,13.0,0.2,13.0,6,2,20.0,26,70,284.0,21,13.52,20.0,25.0,5.0,10.0,9,21,18,85,13.52,4
37,10.0,368,137,75.0,0,U,1,02,H,M,6.0,1,B,1,7.0,2257,485,84,17885,0,43,28,41,1,10,A,1,0.33299999999999996,8.83,0.444,8.75,6,4,19.0,42,114,247.0,38,6.5,5.0,10.0,5.0,10.0,10,24,19,129,6.5,22
38,0.0,372,101,42.0,0,S,1,12,H,M,6.0,1,B,2,5.0,787,375,94,14366,0,24,36,0,0,0,A,1,0.11800000000000001,18.0,0.0,0.0,2,0,17.0,21,59,89.0,7,12.71,14.0,19.0,5.0,19.0,4,13,17,91,12.71,3
39,0.0,379,89,60.0,0,X,5,54,U,F,5.0,0,M,0,2.0,343,162,77,8371,0,0,0,0,1,0,A,1,0.125,12.5,0.0,0.0,2,0,18.0,22,51,85.0,10,8.5,10.0,15.0,5.0,15.0,6,17,18,85,8.5,4
40,0.0,383,41,60.0,0,S,1,14,U,M,5.0,1,M,0,6.0,2439,521,47,21808,0,34,27,29,0,0,A,1,0.1,19.0,0.0,0.0,2,0,15.0,28,68,163.0,9,18.11,28.0,33.0,5.0,20.0,9,22,15,85,18.11,2
41,5.0,387,5,60.0,0,T,2,40,U,F,2.0,0,B,0,5.0,789,413,97,14123,0,31,16,7,0,0,A,3,0.278,5.4,0.222,6.0,5,2,20.0,15,43,70.0,12,5.83,7.0,10.0,3.0,5.0,5,12,18,85,5.83,2
42,16.0,397,89,79.0,0,U,1,02,H,F,7.0,1,P,0,9.0,1857,594,93,27547,0,25,9,65,0,0,A,1,0.067,16.0,0.0,0.0,1,0,20.0,18,60,111.0,7,15.86,10.0,20.0,10.0,16.0,4,15,20,84,15.86,2
43,35.0,403,89,58.0,0,X,5,54,U,U,2.0,0,P,0,5.0,765,408,89,15150,0,0,0,0,0,0,A,1,0.063,20.0,0.125,20.0,1,1,18.0,21,52,335.0,10,33.5,30.0,50.0,20.0,35.0,8,21,7,83,33.5,4
44,0.0,412,77,60.0,0,T,3,41,U,F,1.0,0,M,0,2.0,453,199,79,9591,0,21,40,40,1,10,A,1,0.444,11.25,0.556,11.0,8,5,16.0,24,68,356.0,32,11.13,10.0,15.0,5.0,15.0,6,17,4,81,11.13,10
45,10.0,427,29,60.0,0,C,2,28,U,M,5.0,0,M,0,5.0,709,256,75,13576,0,39,9,57,0,0,A,3,0.15,10.0,0.273,10.0,3,3,22.0,25,59,105.0,11,9.55,10.0,15.0,5.0,10.0,6,15,18,80,9.55,5
46,0.0,438,89,45.0,0,T,2,40,H,F,6.0,1,B,12,8.0,1400,318,77,14928,0,25,30,29,0,0,A,1,0.1,25.0,0.111,25.0,2,1,18.0,30,72,159.0,12,13.25,20.0,25.0,5.0,25.0,11,27,6,81,13.25,5
47,10.0,441,77,56.0,0,U,4,10,U,F,1.0,0,B,2,5.0,550,91,10,10050,0,19,46,31,1,1,S,4,0.5,5.0,0.364,5.0,11,4,8.0,34,90,154.0,28,5.5,7.0,10.0,3.0,5.0,11,25,8,80,5.5,7
48,0.0,458,125,80.0,0,T,2,37,U,F,5.0,0,M,0,4.0,1688,325,70,16023,0,33,28,39,1,1,S,2,0.136,15.0,0.273,15.0,3,3,25.0,25,60,145.0,15,9.67,10.0,15.0,5.0,15.0,7,14,25,124,9.67,8
49,0.0,478,137,82.0,0,T,2,36,H,F,5.0,0,P,0,3.0,550,218,80,10815,0,40,26,42,1,3,A,1,0.3,10.0,0.556,10.4,6,5,19.0,45,120,321.0,42,7.64,11.0,13.0,2.0,10.0,9,22,6,130,7.64,23
50,12.0,511,89,82.0,0,S,1,15,U,F,4.0,1,M,2,4.0,1024,225,8,16782,1,22,33,23,0,0,A,1,0.188,13.33,0.125,10.0,3,1,17.0,22,58,100.0,10,10.0,10.0,15.0,5.0,10.0,9,22,6,78,10.0,2
51,0.0,527,89,64.0,0,T,2,39,H,F,2.0,1,B,2,5.0,684,282,61,13025,0,32,26,17,1,0,A,3,0.364,7.88,0.455,7.4,8,5,13.0,32,76,133.0,23,5.78,13.0,16.0,3.0,5.0,10,24,13,78,5.78,12
52,0.0,532,29,60.0,0,R,1,42,U,U,5.0,0,M,0,5.0,1039,525,92,19249,3,36,50,33,0,0,N,1,0.059000000000000004,20.0,0.125,20.0,1,1,24.0,16,36,110.0,7,15.71,10.0,20.0,10.0,20.0,5,11,24,78,15.71,1
53,0.0,539,89,75.0,0,S,1,14,H,M,5.0,1,B,15,5.0,2003,909,98,32344,0,27,33,19,0,0,A,1,0.063,33.0,0.0,0.0,1,0,26.0,23,54,173.0,6,28.83,8.0,33.0,25.0,33.0,8,19,26,78,28.83,2
54,10.0,542,89,60.0,0,T,2,38,U,M,5.0,0,M,0,5.0,535,192,38,11878,0,21,19,22,0,0,A,1,0.059000000000000004,15.0,0.0,0.0,1,0,24.0,16,38,44.0,7,6.29,12.0,15.0,3.0,15.0,4,10,24,77,6.29,4
55,0.0,544,89,58.0,0,X,5,54,U,F,2.0,0,P,0,1.0,266,222,80,9958,0,0,0,0,1,11,A,1,0.15,11.67,0.111,10.0,3,1,18.0,38,97,142.0,16,8.88,10.0,15.0,5.0,15.0,11,26,18,78,8.88,7
56,0.0,545,137,48.0,0,S,2,18,H,F,2.0,0,B,0,8.0,1221,436,75,20091,0,31,29,26,0,0,A,2,0.21100000000000002,13.0,0.111,16.0,4,1,17.0,39,90,152.0,14,10.86,11.0,16.0,5.0,10.0,8,22,17,111,10.86,4
57,20.0,551,125,85.0,0,T,2,36,H,F,2.0,1,P,0,2.0,340,180,67,9343,0,29,27,46,1,0,A,1,0.063,16.0,0.1,16.0,1,1,24.0,39,89,368.0,24,15.33,20.0,25.0,5.0,21.0,7,15,9,119,15.33,10
58,15.0,557,77,60.0,0,R,2,48,H,F,2.0,0,P,0,2.0,789,200,81,9717,0,47,19,55,0,0,A,1,0.579,11.27,0.7,10.57,11,7,11.0,25,78,328.0,37,8.86,12.0,15.0,3.0,11.0,8,27,4,77,8.86,16
59,0.0,564,89,59.0,0,C,1,24,H,F,7.0,1,B,18,5.0,2573,582,82,19730,0,30,54,8,1,0,A,1,0.25,30.0,0.444,30.0,4,4,16.0,25,56,210.0,10,21.0,45.0,50.0,5.0,18.0,11,24,16,79,21.0,7
60,0.0,576,77,47.0,0,T,1,35,H,F,7.0,1,B,2,5.0,3770,564,83,30842,0,48,32,49,0,0,A,1,0.059000000000000004,25.0,0.0,0.0,1,0,25.0,21,48,141.0,7,20.14,12.0,25.0,13.0,25.0,7,15,25,76,20.14,2
61,10.0,578,89,60.0,0,S,2,18,U,F,5.0,0,M,0,5.0,1821,454,79,17008,0,24,36,54,1,0,A,2,0.267,12.5,0.14300000000000002,10.0,4,1,17.0,23,58,96.0,13,7.38,12.0,15.0,3.0,10.0,11,27,4,78,7.38,4
62,0.0,583,137,76.0,0,X,5,54,U,M,5.0,0,M,0,2.0,303,161,74,8520,0,0,0,0,1,1,S,2,0.182,8.5,0.091,10.0,4,1,21.0,37,95,144.0,33,4.36,8.0,10.0,2.0,10.0,7,19,21,129,4.36,8
63,25.0,591,113,80.0,0,T,2,37,H,M,5.0,1,B,2,3.0,711,223,97,14751,0,58,5,86,1,0,A,1,0.25,29.0,0.364,28.25,5,4,16.0,43,108,315.0,12,26.25,20.0,35.0,15.0,20.0,11,28,16,109,26.25,6
64,0.0,598,77,42.0,0,U,3,08,H,M,5.0,1,B,3,7.0,480,343,82,17493,0,32,19,57,0,0,A,1,0.059000000000000004,25.0,0.111,25.0,1,1,24.0,23,51,165.0,7,23.57,5.0,25.0,20.0,25.0,8,16,24,76,23.57,4
65,0.0,603,89,70.0,0,C,1,23,U,F,5.0,0,M,0,8.0,1459,377,66,19935,0,39,14,42,1,0,A,2,0.25,15.4,0.182,11.5,5,2,13.0,31,79,224.0,16,14.0,20.0,25.0,5.0,25.0,9,24,6,78,14.0,7
66,0.0,616,53,60.0,0,U,2,07,H,F,4.0,0,B,10,3.0,2475,281,22,14765,0,7,17,29,0,0,A,1,0.11800000000000001,15.0,0.0,0.0,2,0,19.0,23,71,107.0,9,11.89,15.0,20.0,5.0,15.0,8,26,8,76,11.89,3
67,0.0,621,77,60.0,0,U,1,03,U,U,5.0,0,M,0,5.0,2440,362,36,17769,0,19,34,29,0,0,A,1,0.125,37.5,0.25,37.5,2,2,20.0,16,38,210.0,7,30.0,15.0,40.0,25.0,25.0,7,16,4,76,30.0,3
68,0.0,626,29,56.0,0,T,2,36,H,M,4.0,1,B,1,5.0,689,296,70,11819,0,45,35,37,1,1,S,4,0.316,8.0,0.5,7.6,6,5,18.0,17,45,60.0,8,7.5,5.0,10.0,5.0,10.0,6,16,18,75,7.5,5
69,0.0,634,137,60.0,0,U,3,08,U,F,1.0,0,P,0,1.0,1608,337,88,10580,0,19,71,10,1,1,S,4,0.35,5.0,0.364,5.0,7,4,18.0,41,104,235.0,47,5.0,0.0,5.0,5.0,5.0,6,15,18,130,5.0,20
70,25.0,637,77,81.0,1,S,1,13,H,F,4.0,0,P,0,8.0,2865,534,92,24571,0,33,14,52,1,0,A,2,0.35,19.57,0.364,21.0,7,4,11.0,34,93,419.0,27,15.52,25.0,30.0,5.0,20.0,9,25,6,80,15.52,11
71,0.0,640,137,70.0,0,C,3,31,U,F,5.0,0,M,0,0.0,1781,105,11,5381,0,10,0,45,1,8,A,1,0.1,8.0,0.111,5.0,2,1,26.0,41,96,180.0,48,3.75,10.0,11.0,1.0,11.0,4,10,26,123,3.75,24
72,0.0,646,137,63.0,0,T,1,35,H,M,5.0,1,M,6,9.0,1361,665,98,21294,0,22,39,22,1,13,A,1,0.3,9.83,0.222,9.0,6,2,13.0,42,116,237.0,30,7.9,6.0,11.0,5.0,9.0,9,26,7,122,7.9,16
73,0.0,653,77,40.0,0,S,1,14,H,F,7.0,0,P,0,8.0,914,507,92,16840,2,47,65,18,1,0,A,1,0.1,27.5,0.111,40.0,2,1,19.0,34,92,239.0,13,18.38,35.0,40.0,5.0,40.0,9,23,19,76,18.38,6
74,20.0,661,65,32.0,0,U,2,05,H,M,6.0,1,B,4,7.0,1801,495,79,18663,0,37,26,31,1,0,A,1,0.33299999999999996,20.14,0.6,20.0,7,6,16.0,32,90,331.0,17,19.47,10.0,25.0,15.0,25.0,11,26,10,73,19.47,12
75,0.0,665,41,53.0,0,T,2,40,H,F,3.0,1,B,4,5.0,742,369,89,13642,1,35,32,11,0,0,A,2,0.14300000000000002,18.33,0.0,0.0,3,0,16.0,29,75,164.0,12,13.67,10.0,20.0,10.0,15.0,11,27,16,73,13.67,1
76,0.0,672,89,60.0,0,C,2,27,U,F,2.0,1,P,0,3.0,1720,299,53,14082,7,39,54,28,0,0,A,1,0.105,15.5,0.1,16.0,2,1,26.0,28,70,148.0,12,12.33,11.0,16.0,5.0,15.0,5,14,26,80,12.33,4
77,15.0,675,113,82.0,0,T,1,34,H,F,5.0,1,B,2,7.0,1714,342,77,18534,0,29,43,57,1,1,S,2,0.1,13.5,0.111,15.0,2,1,21.0,32,87,205.08,23,8.92,14.92,15.0,0.08,15.0,7,17,21,100,8.92,13
78,5.0,683,137,79.0,0,S,1,14,U,F,5.0,0,M,0,9.0,2257,695,93,26427,2,33,34,14,1,2,N,3,0.526,5.1,0.7,5.29,10,7,20.0,51,131,247.0,52,4.75,7.0,10.0,3.0,5.0,11,26,20,118,4.75,26
79,0.0,687,65,73.0,0,S,1,12,H,M,7.0,1,B,2,5.0,1407,578,82,21162,0,29,36,25,1,0,A,4,0.579,6.18,0.7,5.57,11,7,17.0,30,76,104.0,18,5.78,6.0,8.0,2.0,8.0,10,22,17,68,5.78,8
80,0.0,689,65,45.0,0,R,3,50,H,F,7.0,0,P,0,2.0,317,182,78,7839,0,23,21,37,1,4,A,1,0.47600000000000003,5.1,0.6,4.33,10,6,12.0,35,101,197.0,47,4.19,8.0,10.0,2.0,10.0,8,27,5,69,4.19,17
81,0.0,696,137,86.0,0,X,5,54,U,F,5.0,1,M,0,5.0,793,344,62,13429,0,0,0,0,1,1,S,3,0.632,7.67,0.9,7.56,12,9,12.0,47,129,323.0,50,6.46,7.0,10.0,3.0,7.0,10,30,5,129,6.46,25
82,0.0,701,137,60.0,0,R,2,45,U,F,5.0,0,M,0,4.0,407,214,74,10149,0,30,35,28,1,1,S,2,0.3,30.0,0.364,26.25,6,4,16.0,46,124,645.0,27,23.89,40.0,50.0,10.0,50.0,10,27,6,121,23.89,14
83,0.0,702,101,75.0,0,T,1,35,H,F,7.0,1,B,6,9.0,1125,550,90,28012,0,40,18,63,1,0,A,2,0.28600000000000003,9.83,0.3,10.0,6,3,13.0,38,103,175.0,22,7.95,7.0,11.0,4.0,10.0,10,26,13,92,7.95,7
84,0.0,706,77,54.0,0,T,2,36,H,F,5.0,1,B,13,5.0,508,269,70,15080,0,37,30,35,0,0,A,1,0.067,15.0,0.0,0.0,1,0,24.0,17,46,97.0,11,8.82,10.0,15.0,5.0,15.0,5,15,24,68,8.82,3
85,0.0,714,77,33.0,0,S,2,19,H,F,6.0,1,P,0,7.0,2051,417,67,13430,1,18,43,25,1,1,S,4,0.364,26.38,0.545,27.5,8,6,21.0,39,106,453.0,30,15.1,35.0,40.0,5.0,38.0,11,25,21,76,15.1,14
86,35.0,718,101,75.0,0,C,2,27,H,F,3.0,0,B,3,2.0,1215,296,49,12319,1,33,46,26,0,0,A,1,0.15,40.67,0.091,36.0,3,1,18.0,31,86,361.0,16,22.56,40.0,50.0,10.0,36.0,9,22,18,105,22.56,4
87,2.0,727,65,73.0,0,R,3,51,H,F,3.0,1,B,1,5.0,240,232,77,10744,0,27,23,31,1,0,A,4,0.47600000000000003,2.8,0.8,2.75,10,8,12.0,28,64,52.0,23,2.26,4.0,5.0,1.0,2.0,10,18,7,69,2.26,13
88,0.0,740,113,60.0,0,R,1,42,U,U,5.0,0,M,0,0.0,1212,298,74,15314,0,38,31,44,1,7,A,1,0.2,11.5,0.2,8.0,4,2,16.0,32,80,105.0,16,6.56,17.0,20.0,3.0,15.0,10,23,4,105,6.56,8
89,0.0,743,113,60.0,0,R,2,46,H,M,5.0,1,M,15,9.0,768,304,70,12793,0,28,48,8,1,0,A,2,0.524,10.45,0.4,11.25,11,4,15.0,39,107,360.0,37,9.73,10.0,15.0,5.0,10.0,11,27,11,113,9.73,10
90,11.0,751,125,67.0,0,U,1,02,U,F,5.0,0,M,0,8.0,2250,539,80,18081,0,36,34,25,1,3,A,1,0.182,10.25,0.273,10.33,4,3,23.0,45,107,192.0,25,7.68,9.0,12.0,3.0,10.0,8,22,23,122,7.68,16
91,0.0,775,65,67.0,0,S,1,15,H,F,5.0,0,B,1,8.0,844,352,78,18534,0,43,9,59,1,0,A,4,0.368,13.0,0.222,14.0,7,2,13.0,29,80,163.0,15,10.87,13.0,18.0,5.0,15.0,11,29,11,67,10.87,8
92,18.0,785,77,52.0,0,C,1,22,U,M,2.0,1,P,0,2.0,613,146,2,13209,0,12,18,15,0,0,A,1,0.063,15.0,0.0,0.0,1,0,19.0,19,49,105.0,6,17.5,15.0,25.0,10.0,20.0,7,19,5,66,17.5,3
93,0.0,788,65,49.0,0,T,2,40,H,F,6.0,1,B,14,5.0,864,404,86,13208,0,30,36,45,0,0,A,1,0.063,40.0,0.125,40.0,1,1,21.0,20,51,140.0,5,28.0,15.0,40.0,25.0,40.0,7,18,21,64,28.0,3
94,15.0,790,77,71.0,0,R,2,46,U,M,5.0,0,P,0,4.0,580,286,78,12400,0,29,34,29,1,0,A,1,0.053,15.0,0.0,0.0,1,0,18.0,24,67,92.0,11,8.36,12.0,15.0,3.0,15.0,5,16,18,68,8.36,4
95,15.0,793,125,87.0,0,S,2,17,H,F,5.0,1,B,23,5.0,1568,328,28,17761,0,26,38,24,1,0,E,1,0.222,14.0,0.125,12.0,4,1,15.0,37,103,214.0,21,10.19,18.0,20.0,2.0,16.0,4,16,15,123,10.19,7
96,0.0,804,137,7.0,0,S,1,11,H,F,5.0,1,B,8,5.0,1227,471,60,17179,20,36,57,18,1,0,A,3,0.19,6.0,0.2,7.0,4,2,21.0,38,93,114.0,25,4.56,4.0,7.0,3.0,7.0,6,13,21,124,4.56,8
97,0.0,826,65,17.0,0,T,3,41,U,F,5.0,0,M,0,1.0,348,178,80,10244,2,45,36,33,1,0,A,1,0.5,13.11,0.889,12.88,9,8,12.0,22,72,220.0,19,11.58,11.0,16.0,5.0,16.0,7,21,4,65,11.58,11
